"Month","Sales"
"2011-01-01",266.0
"2011-02-01",145.9
"2011-03-01",183.1
"2011-04-01",119.3
"2011-05-01",180.3
"2011-06-01",168.5
"2011-07-01",231.8
"2011-08-01",224.5
"2011-09-01",192.8
"2011-10-01",122.9
"2011-11-01",336.5
"2011-12-01",185.9
"2012-01-01",194.3
"2012-02-01",149.5
"2012-03-01",210.1
"2012-04-01",273.3
"2012-05-01",191.4
"2012-06-01",287.0
"2012-07-01",226.0
"2012-08-01",303.6
"2012-09-01",289.9
"2012-10-01",421.6
"2012-11-01",264.5
"2012-12-01",342.3
"2013-01-01",339.7
"2013-02-01",440.4
"2013-03-01",315.9
"2013-04-01",439.3
"2013-05-01",401.3
"2013-06-01",437.4
"2013-07-01",575.5
"2013-08-01",407.6
"2013-09-01",682.0
"2013-10-01",475.3
"2013-11-01",581.3
"2013-12-01",646.9